years_experience,position,skills,location,market_salary,final_salary
15,Manager,"['Android Development', 'Bootstrap', 'Dashboarding', 'Deep Learning', 'ETL', 'SQL', 'Swift']",Mumbai,6291000,6441000
16,Lead,"['Bootstrap', 'Data Analysis', 'Django', 'Firebase', 'Kubernetes', 'MySQL', 'PostgreSQL', 'Python', 'System Design']",Gurgaon,4592000,4990000
3,Junior,"['Node.js', 'Python', 'SQL']",Delhi,1131000,1176000
9,Manager,"['AWS', 'Computer Vision', 'Dart', 'FastAPI', 'Groq API']",Mumbai,5443000,4887000
13,Mid,"['Machine Learning', 'Power BI', 'Rust', 'SQL', 'Statistics']",Remote,2330000,2572000
5,Senior,"['Flutter', 'Groq API', 'HTML', 'MLOps', 'MongoDB', 'Python', 'SQL', 'System Design']",Hyderabad,2773000,2928000
17,Senior,"['Azure', 'Computer Vision', 'Dashboarding', 'Flutter', 'Python', 'SQL', 'Tableau', 'Vector Databases', 'Vue.js']",Mumbai,4714000,4736000
8,Mid,"['CI/CD', 'Machine Learning', 'Python', 'React', 'SQL']",Mumbai,2657000,2755000
0,Junior,"['GCP', 'PostgreSQL', 'Vue.js']",Hyderabad,519000,467000
17,Lead,"['C++', 'Data Pipelines', 'FAISS', 'Pandas', 'SQL']",Noida,4534000,4575000
19,Director,"['C', 'CSS', 'Next.js', 'NumPy', 'Python']",Bangalore,7511000,6722000
15,Lead,"['Angular', 'Java', 'Kubernetes', 'LLM', 'Microservices', 'Python', 'Tableau']",Hyderabad,4797000,4748000
18,Lead,"['AWS', 'LangGraph', 'MySQL', 'Nginx', 'Python', 'Redis', 'Vector Databases']",Hyderabad,4563000,4465000
9,Mid,"['Python', 'REST API', 'Scikit-learn', 'Tailwind CSS', 'TensorFlow']",Bangalore,2196000,2056000
19,Lead,"['Bootstrap', 'CSS', 'Microservices', 'Node.js', 'Prompt Engineering', 'Python', 'SQL', 'Statistics', 'iOS Development']",Bangalore,5857000,6093000
9,Senior,"['Dashboarding', 'GitHub Actions', 'Python', 'REST API', 'SQL', 'Statistics', 'System Design', 'Tableau']",Bangalore,3585000,3832000
6,Senior,"['CI/CD', 'Deep Learning', 'Firebase', 'Kubernetes', 'NLP', 'OpenAI API', 'Python', 'Scikit-learn', 'Spark']",Remote,2757000,2797000
17,Director,"['CSS', 'Dart', 'Groq API', 'SQL']",Delhi,7584000,8936000
8,Director,"['Dart', 'ETL', 'Go', 'Node.js', 'PyTorch', 'React Native', 'SQL']",Noida,6396000,6530000
8,Lead,"['AWS', 'Kotlin', 'Python', 'RAG', 'SQL']",Pune,3614000,3874000
8,Lead,"['Data Pipelines', 'FAISS', 'Firebase', 'Flutter', 'GitHub Actions', 'Hadoop', 'Python', 'React Native', 'SQL']",Delhi,4165000,4436000
11,Senior,"['Excel', 'Firebase', 'Hadoop', 'Java', 'React', 'SQL', 'Scikit-learn', 'Swift', 'Vue.js']",Bangalore,3873000,3920000
11,Senior,"['Angular', 'Docker', 'FAISS', 'HTML', 'Kotlin', 'MLOps', 'Python', 'SQL']",Mumbai,3817000,3894000
20,Senior,"['FastAPI', 'Kafka', 'LangChain', 'MLOps', 'Nginx', 'Python', 'RAG', 'SQL', 'TensorFlow']",Gurgaon,4550000,4232000
5,Senior,"['AWS', 'Go', 'LLM', 'Node.js', 'Python', 'Redis', 'SQL', 'Spring Boot']",Chennai,2656000,2856000
18,Lead,"['Angular', 'C', 'Deep Learning', 'LLM', 'MLOps', 'Python', 'SQLite', 'Swift', 'System Design']",Noida,5094000,4833000
5,Mid,"['Data Analysis', 'SQL', 'Tailwind CSS']",Delhi,1697000,1426000
2,Senior,"['Agile', 'Apache Spark', 'Azure', 'C++', 'DynamoDB', 'Hadoop', 'Machine Learning', 'Python', 'REST API']",Bangalore,2641000,2714000
16,Senior,"['Bootstrap', 'Data Science', 'Excel', 'PostgreSQL', 'Python', 'REST API']",Hyderabad,3491000,2993000
9,Senior,"['Kubernetes', 'Machine Learning', 'REST API', 'SQL', 'Terraform']",Mumbai,3513000,3899000
1,Junior,"['Computer Vision', 'Data Analysis', 'FAISS', 'Python', 'SQL']",Mumbai,910000,952000
19,Mid,"['GitHub Actions', 'Machine Learning', 'Power BI', 'Python', 'RAG', 'SQL']",Hyderabad,3099000,3223000
19,Lead,"['GCP', 'GitHub Actions', 'Groq API', 'Nginx', 'Spark', 'Vue.js']",Gurgaon,5079000,4593000
19,Lead,"['CI/CD', 'Data Analysis', 'DynamoDB', 'MySQL', 'Nginx', 'Python', 'Swift', 'Testing']",Gurgaon,5010000,5313000
2,Senior,"['Generative AI', 'Kubernetes', 'Python', 'SQL']",Delhi,2713000,3003000
12,Senior,"['Apache Spark', 'DynamoDB', 'Microservices', 'SQL', 'Swift', 'Tailwind CSS']",Mumbai,3801000,4102000
2,Mid,"['Agile', 'DynamoDB', 'SQL', 'Terraform']",Gurgaon,1514000,1655000
10,Manager,"['C', 'Deep Learning', 'Next.js', 'Power BI', 'Python', 'Redis', 'SQL', 'Terraform', 'iOS Development']",Bangalore,5415000,5748000
4,Senior,"['Authentication', 'Data Pipelines', 'GCP', 'HTML', 'Kafka', 'LangChain', 'Power BI', 'System Design', 'Terraform']",Bangalore,3543000,2700000
9,Senior,"['Docker', 'Groq API', 'Kotlin', 'Rust', 'SQL', 'System Design']",Mumbai,3167000,3761000
17,Director,"['C', 'C++', 'NLP', 'Next.js', 'Python']",Mumbai,8097000,8250000
11,Lead,"['Excel', 'GCP', 'GraphQL', 'Groq API', 'Kotlin', 'MLOps', 'PostgreSQL', 'Python', 'SQL', 'SQLite']",Bangalore,4792000,5283000
13,Manager,"['AWS', 'Agile', 'Docker', 'GCP', 'Kubernetes', 'Python', 'Redis', 'Swift', 'System Design']",Delhi,6154000,6180000
12,Lead,"['Flutter', 'Hadoop', 'Kubernetes', 'SQL', 'Scikit-learn']",Remote,4563000,4696000
13,Lead,"['API Design', 'AWS', 'DynamoDB', 'MLOps', 'MySQL', 'Python', 'RAG', 'SQL', 'Vector Databases']",Delhi,4341000,4345000
13,Senior,"['Azure', 'Bootstrap', 'FastAPI', 'Next.js']",Delhi,3905000,3699000
20,Lead,"['CI/CD', 'ETL', 'Go', 'HTML', 'Prompt Engineering', 'SQL', 'Spark', 'Terraform', 'Vector Databases']",Delhi,5225000,5003000
7,Senior,"['CSS', 'FAISS', 'Firebase', 'Python', 'SQL', 'Spring Boot']",Bangalore,2987000,3103000
1,Junior,"['Agile', 'Excel', 'Flutter', 'SQL', 'Statistics']",Mumbai,836000,728000
1,Junior,"['Kotlin', 'Nginx', 'Python']",Mumbai,770000,735000
14,Senior,"['Bootstrap', 'Data Analysis', 'Django', 'DynamoDB', 'Node.js', 'Python', 'SQL', 'System Design', 'Vue.js']",Gurgaon,3880000,3477000
19,Senior,"['Apache Spark', 'Express.js', 'Hadoop', 'LLM', 'NLP', 'React', 'SQL', 'iOS Development']",Pune,3528000,3095000
14,Manager,"['Deep Learning', 'MLOps', 'PostgreSQL', 'Power BI', 'Python']",Chennai,4720000,5432000
18,Senior,"['Bootstrap', 'CI/CD', 'DynamoDB', 'Firebase', 'MongoDB', 'Tailwind CSS', 'Vector Databases']",Chennai,3207000,3380000
3,Senior,"['Bootstrap', 'Computer Vision', 'Kubernetes', 'RAG', 'SQL', 'Swift']",Mumbai,2950000,2951000
11,Senior,"['CSS', 'DynamoDB', 'Java', 'MLOps', 'Python', 'Spark', 'System Design', 'Tableau']",Delhi,4135000,4289000
13,Manager,"['Dashboarding', 'Django', 'NumPy', 'SQL']",Gurgaon,5411000,6165000
2,Senior,"['AWS', 'Azure', 'FAISS', 'HTML', 'Hadoop', 'NLP', 'SQL', 'Vector Databases']",Mumbai,2715000,2646000
16,Manager,"['API Design', 'Data Pipelines', 'GCP', 'RAG', 'Tailwind CSS']",Pune,4084000,4120000
13,Mid,"['Excel', 'Express.js', 'Groq API', 'MySQL', 'Redis']",Remote,2315000,2319000
4,Mid,"['Bootstrap', 'Hadoop', 'Prompt Engineering', 'Python']",Hyderabad,1869000,1811000
9,Mid,"['Microservices', 'PostgreSQL', 'Python', 'Vector Databases']",Gurgaon,2418000,2225000
18,Director,"['API Design', 'GCP', 'LangChain', 'NumPy', 'Python', 'SQL', 'Vector Databases']",Mumbai,8437000,8440000
13,Senior,"['Android Development', 'Authentication', 'GraphQL', 'HTML', 'Kotlin', 'MLOps', 'Python', 'React', 'System Design']",Chennai,3507000,3608000
11,Lead,"['Docker', 'GraphQL', 'Kubernetes', 'LangChain', 'NumPy', 'Pandas', 'React Native', 'SQL', 'Vue.js']",Hyderabad,4760000,5096000
3,Mid,"['Bootstrap', 'C', 'Django', 'FAISS', 'LLM', 'Python']",Delhi,1866000,1997000
5,Senior,"['CSS', 'Docker', 'DynamoDB', 'Generative AI', 'Go', 'Kotlin', 'Python']",Hyderabad,2699000,2770000
9,Senior,"['Data Analysis', 'GitHub Actions', 'SQL', 'System Design']",Mumbai,3573000,2861000
10,Senior,"['API Design', 'Angular', 'Docker', 'Kotlin', 'MLOps', 'OpenAI API', 'Python', 'RAG', 'SQL']",Mumbai,3764000,3648000
11,Lead,"['AWS', 'Android Development', 'Firebase', 'NLP', 'NumPy', 'OpenAI API']",Bangalore,4302000,3539000
6,Mid,"['Deep Learning', 'GCP', 'NumPy', 'Python', 'SQL', 'iOS Development']",Delhi,2335000,2542000
17,Director,"['Azure', 'Data Pipelines', 'Nginx', 'Node.js', 'NumPy', 'REST API', 'SQL', 'Terraform']",Remote,6254000,6387000
9,Senior,"['MLOps', 'Python', 'REST API', 'SQL', 'Terraform']",Gurgaon,3678000,3909000
19,Director,"['Apache Spark', 'CI/CD', 'Data Analysis', 'Go', 'Next.js', 'SQL']",Bangalore,8371000,8166000
3,Junior,"['Data Analysis', 'FastAPI', 'LangGraph', 'Microservices', 'SQL']",Bangalore,1259000,1410000
4,Junior,"['Groq API', 'Scikit-learn', 'Statistics']",Pune,965000,931000
9,Senior,"['Angular', 'Kafka', 'Kubernetes', 'SQL', 'SQLite']",Hyderabad,3246000,3273000
6,Junior,"['Authentication', 'C', 'FAISS', 'Flutter', 'Terraform']",Remote,1027000,1003000
13,Manager,"['Azure', 'Django', 'GitHub Actions', 'Go', 'SQL', 'Tableau', 'Vector Databases']",Bangalore,5067000,4943000
3,Mid,"['MySQL', 'Power BI', 'Python']",Noida,1506000,1548000
1,Junior,"['Go', 'LLM', 'REST API', 'SQL']",Remote,677000,660000
15,Lead,"['Generative AI', 'Microservices', 'Next.js', 'Python', 'React', 'React Native', 'SQL', 'Scikit-learn']",Gurgaon,4969000,5464000
11,Mid,"['Kotlin', 'Python', 'SQL', 'Scikit-learn', 'Statistics']",Delhi,2812000,2978000
6,Mid,"['Data Science', 'Python', 'SQL', 'Terraform']",Chennai,1624000,1707000
8,Mid,"['Express.js', 'FAISS', 'Groq API', 'Python', 'SQL', 'Testing', 'TypeScript']",Noida,2032000,2255000
3,Mid,"['CI/CD', 'Python', 'SQL']",Bangalore,1976000,2041000
1,Junior,"['Authentication', 'Computer Vision', 'Python', 'iOS Development']",Mumbai,812000,860000
8,Senior,"['Angular', 'Authentication', 'Bootstrap', 'Django', 'FastAPI', 'Firebase', 'LLM', 'Python', 'Tailwind CSS']",Mumbai,3283000,2941000
7,Senior,"['Android Development', 'GitHub Actions', 'HTML', 'Java', 'Python']",Gurgaon,3242000,3477000
19,Manager,"['Agile', 'Angular', 'Azure', 'JavaScript', 'LangGraph', 'Next.js', 'Pandas', 'SQL', 'Terraform']",Hyderabad,4959000,3979000
0,Junior,"['MySQL', 'Python', 'SQL']",Delhi,668000,700000
12,Manager,"['AWS', 'Python', 'System Design', 'Terraform']",Bangalore,5916000,6120000
16,Director,"['Agile', 'Groq API', 'Kotlin', 'Spring Boot', 'System Design', 'TensorFlow', 'TypeScript']",Mumbai,8347000,7465000
16,Lead,"['Azure', 'Docker', 'Flutter', 'Kubernetes', 'MongoDB', 'Python', 'React Native', 'SQL', 'Spark', 'Spring Boot']",Bangalore,6162000,5962000
3,Senior,"['Authentication', 'Azure', 'Deep Learning', 'ETL', 'Hadoop', 'Power BI', 'Python', 'React', 'Vue.js']",Mumbai,3494000,3688000
8,Senior,"['Flutter', 'Go', 'HTML', 'Hadoop', 'Python', 'Spark', 'System Design', 'TensorFlow']",Bangalore,3761000,3584000
6,Mid,"['Android Development', 'CI/CD', 'Docker', 'Excel', 'Go', 'Kotlin']",Bangalore,2136000,2033000
20,Lead,"['Flutter', 'Go', 'Java', 'Prompt Engineering', 'Python', 'TensorFlow']",Mumbai,4802000,4417000
18,Senior,"['Bootstrap', 'C', 'Django', 'PostgreSQL', 'Python', 'REST API', 'Redis', 'SQL']",Gurgaon,3902000,3791000
20,Manager,"['C', 'Data Pipelines', 'GCP', 'LangChain', 'Python', 'SQLite', 'Testing', 'iOS Development']",Delhi,5886000,6011000
1,Junior,"['FAISS', 'Kafka', 'Pandas', 'Python', 'Statistics']",Mumbai,924000,1084000
15,Senior,"['Bootstrap', 'Flutter', 'Kotlin', 'MLOps', 'OpenAI API', 'Python', 'SQL']",Mumbai,3838000,3433000
20,Lead,"['C++', 'CI/CD', 'Django', 'FAISS', 'Kubernetes', 'Microservices', 'Python', 'SQL', 'SQLite']",Delhi,5387000,6079000
13,Mid,"['Express.js', 'FAISS', 'GitHub Actions', 'MySQL', 'Next.js', 'Python', 'SQL']",Remote,2470000,2699000
1,Senior,"['AWS', 'Bootstrap', 'Deep Learning', 'MongoDB', 'SQL']",Delhi,2626000,2764000
4,Mid,"['Excel', 'Express.js', 'Kafka', 'LangChain', 'Python', 'React', 'SQL']",Delhi,1925000,1538000
9,Lead,"['AWS', 'CI/CD', 'GitHub Actions', 'Kafka', 'Next.js', 'Python', 'SQL', 'Testing']",Mumbai,4918000,6115000
7,Mid,"['CSS', 'Computer Vision', 'Django', 'Excel', 'Python']",Mumbai,2160000,1935000
2,Junior,"['Python', 'Testing']",Bangalore,1025000,1152000
7,Junior,"['Agile', 'Computer Vision', 'Data Science', 'Python', 'Swift']",Delhi,1626000,1681000
12,Senior,"['Authentication', 'Django', 'GCP', 'GraphQL', 'Python', 'SQL', 'SQLite']",Chennai,3032000,2852000
4,Junior,"['OpenAI API', 'Rust']",Noida,1165000,1131000
4,Mid,"['Deep Learning', 'LangChain', 'Python']",Hyderabad,1605000,1723000
8,Director,"['AWS', 'Bootstrap', 'GCP', 'Machine Learning', 'Next.js', 'Python']",Pune,5380000,6120000
12,Manager,"['Generative AI', 'Kotlin', 'Node.js', 'Python', 'React Native', 'SQL', 'Statistics', 'Swift']",Hyderabad,5251000,6140000
15,Senior,"['AWS', 'Bootstrap', 'C++', 'Excel', 'LangGraph', 'MongoDB', 'React', 'SQL']",Hyderabad,4113000,3632000
4,Mid,"['Data Analysis', 'Data Pipelines', 'Kotlin', 'SQL']",Chennai,1453000,1490000
1,Junior,"['Apache Spark', 'GitHub Actions', 'JavaScript', 'LLM']",Mumbai,898000,891000
4,Senior,"['HTML', 'Python', 'SQL', 'Scikit-learn']",Noida,2693000,2459000
17,Senior,"['Flutter', 'Next.js', 'Nginx', 'Pandas', 'PostgreSQL', 'iOS Development']",Hyderabad,3203000,3328000
3,Junior,"['Data Science', 'SQL']",Pune,837000,903000
10,Senior,"['Authentication', 'Python', 'REST API', 'SQL']",Delhi,3422000,2815000
10,Lead,"['AWS', 'Data Analysis', 'Java', 'Kubernetes', 'LLM', 'Python', 'Redis', 'Statistics', 'TypeScript', 'Vector Databases']",Delhi,4973000,5134000
13,Manager,"['Excel', 'HTML', 'LangChain', 'Nginx', 'NumPy', 'SQL', 'TypeScript']",Pune,4224000,4136000
4,Junior,"['OpenAI API', 'PostgreSQL']",Delhi,1270000,1218000
9,Senior,"['DynamoDB', 'FAISS', 'Kubernetes', 'Microservices', 'Python', 'React', 'SQL', 'Statistics', 'TypeScript']",Bangalore,3513000,2924000
18,Lead,"['Android Development', 'Bootstrap', 'Excel', 'React Native', 'SQL']",Chennai,4445000,4115000
3,Mid,"['Dashboarding', 'Express.js', 'NLP', 'Python', 'SQL']",Hyderabad,1503000,1685000
5,Senior,"['Data Pipelines', 'Excel', 'FastAPI', 'Machine Learning', 'OpenAI API', 'PyTorch', 'RAG', 'React Native']",Bangalore,3292000,3569000
8,Manager,"['Azure', 'Deep Learning', 'Hadoop', 'MLOps', 'Redis', 'SQL', 'Swift', 'Tableau']",Mumbai,4777000,5305000
12,Senior,"['AWS', 'Deep Learning', 'Hadoop', 'Kubernetes', 'SQL', 'Vector Databases']",Mumbai,4365000,4535000
9,Senior,"['AWS', 'Dashboarding', 'Microservices', 'NLP', 'PyTorch', 'SQL', 'Spark', 'Testing']",Hyderabad,3443000,3410000
19,Manager,"['CI/CD', 'Flutter', 'LangGraph', 'MongoDB', 'Python', 'Terraform']",Gurgaon,6811000,6155000
3,Junior,"['Bootstrap', 'SQL']",Delhi,1002000,1009000
19,Lead,"['CSS', 'ETL', 'Express.js', 'Flutter', 'Python', 'SQL', 'Terraform', 'Vector Databases', 'Vue.js']",Delhi,5346000,5325000
5,Senior,"['Kotlin', 'OpenAI API', 'Power BI', 'Python']",Mumbai,2728000,2817000
16,Senior,"['Dashboarding', 'LangGraph', 'Power BI', 'Python', 'Rust', 'SQL']",Bangalore,4297000,4050000
12,Mid,"['Microservices', 'PyTorch', 'SQLite']",Delhi,2634000,2663000
4,Mid,"['Azure', 'Dart', 'Python', 'Rust', 'SQL', 'Spark', 'Swift']",Bangalore,1819000,1882000
7,Senior,"['Power BI', 'Python', 'Redis', 'Rust', 'SQL', 'Tableau', 'Testing']",Pune,2484000,3083000
14,Mid,"['LangGraph', 'Python', 'SQL', 'Swift', 'Vue.js']",Mumbai,2772000,2914000
18,Manager,"['API Design', 'C++', 'Express.js', 'Generative AI', 'SQLite', 'Statistics', 'System Design']",Bangalore,6347000,6096000
5,Senior,"['Kafka', 'NumPy', 'Python', 'SQL']",Chennai,2548000,2493000
7,Senior,"['Docker', 'Go', 'MLOps', 'MongoDB', 'NLP', 'OpenAI API', 'Redis', 'SQL']",Mumbai,3425000,3251000
9,Lead,"['Azure', 'Django', 'Firebase', 'HTML', 'Kubernetes', 'Python', 'SQL', 'System Design']",Mumbai,4870000,4297000
18,Lead,"['Azure', 'Kotlin', 'SQL', 'Spring Boot', 'Terraform', 'Vue.js']",Delhi,5239000,5698000
4,Junior,"['Python', 'Statistics']",Bangalore,1183000,1288000
8,Senior,"['Agile', 'Python', 'React', 'Redis', 'SQL']",Hyderabad,3136000,3011000
12,Lead,"['Agile', 'Computer Vision', 'Java', 'LangChain', 'Next.js', 'PyTorch', 'Python', 'SQL', 'Tableau']",Bangalore,4899000,4277000
14,Lead,"['Data Science', 'Nginx', 'Prompt Engineering', 'PyTorch', 'Python', 'React Native', 'SQL']",Pune,3877000,3085000
5,Senior,"['API Design', 'Dashboarding', 'Data Pipelines', 'FastAPI', 'Groq API', 'Next.js', 'REST API', 'React', 'SQL']",Delhi,2824000,2988000
11,Manager,"['Apache Spark', 'Authentication', 'Python', 'SQL']",Delhi,4981000,4310000
20,Manager,"['AWS', 'HTML', 'Kafka', 'PyTorch', 'System Design']",Mumbai,6089000,4714000
17,Manager,"['C', 'Go', 'NLP', 'Next.js', 'Python']",Bangalore,6202000,6872000
16,Lead,"['Data Science', 'Groq API', 'Kafka', 'MLOps', 'Python', 'Rust', 'SQL', 'Testing', 'Vector Databases']",Hyderabad,4663000,4619000
1,Junior,"['Node.js', 'Python', 'SQL']",Gurgaon,860000,726000
4,Mid,"['Python', 'SQL', 'Tableau']",Mumbai,1801000,1841000
16,Director,"['NumPy', 'Python', 'SQL', 'Statistics']",Delhi,7199000,7446000
9,Director,"['Computer Vision', 'Python', 'React Native', 'Scikit-learn', 'Swift', 'iOS Development']",Pune,5289000,5528000
16,Lead,"['Angular', 'Computer Vision', 'Docker', 'Firebase', 'React Native', 'SQL']",Bangalore,5145000,5891000
1,Mid,"['Bootstrap', 'Data Analysis', 'Flutter', 'GraphQL', 'Kotlin', 'PyTorch', 'Spark']",Pune,1197000,1167000
